Count of A_acc	Column Labels																																												
Row Labels	E_QCOV_FILT_HIT_09	E_QCOV_FILT_HIT_14	E_QCOV_FILT_HIT_15	E_QCOV_FILT_HIT_45	E_QCOV_FILT_HIT_53	E_QSPECIES_NOT_HIT	E_SPECIES_SEG_NOT_IN_DB	HIT_01	HIT_02	HIT_03	HIT_04	HIT_05	HIT_06	HIT_07	HIT_08	HIT_09	HIT_10	HIT_11	HIT_12	HIT_13	HIT_14	HIT_15	HIT_16	HIT_17	HIT_18	HIT_19	HIT_21	HIT_22	HIT_24	HIT_26	HIT_28	HIT_30	HIT_31	HIT_34	HIT_35	HIT_38	HIT_40	HIT_41	HIT_42	HIT_43	HIT_47	HIT_49	HIT_55	(blank)	Grand Total
Agatevirus								1																																					1
Alphabaculovirus								6																																					6
Alphachrysovirus								28																																					28
Alphacoronavirus								1																																					1
Alphahypovirus								1																																					1
Alphanodavirus								6	1																																				7
Alphanucleorhabdovirus								1																																					1
Alphapapillomavirus								64																																					64
Alphapartitivirus								18																																					18
Alphavirus								21				1																																	22
Alphayadokarivirus								1																																					1
Antennavirus								3																																					3
Anulavirus								3																																					3
Aphthovirus								11																																					11
Aquabirnavirus								10																																					10
Aquamavirus								1																																					1
Aquareovirus							1	9	3	1																																			14
Ascovirus								2																																					2
Asfivirus								19																																					19
Atadenovirus								2																																					2
Aviadenovirus								8																																					8
Avibirnavirus								2																																					2
Avihepadnavirus								5																																					5
Avihepatovirus								2																																					2
Avihepevirus								3																																					3
Babuvirus								17	1																																				18
Barhavirus								1																																					1
Becurtovirus								3																																					3
Begomovirus						3		100	16	6	15	9	3	4	1	1	3	6	1	1		3	4		2	1	3	1	1	1	1	1			1	1	1	1	1	1		1	1		195
Bequatrovirus								1																																					1
Betachrysovirus								14																																					14
Betacoronavirus								3																																					3
Betahypovirus								1																																					1
Betanodavirus								15	1																																				16
Betanudivirus								1																																					1
Betapapillomavirus								43																																					43
Betapartitivirus								16																																					16
Betayadokarivirus								2																																					2
Boosepivirus								1																																					1
Botoulivirus								1																																					1
Botrytimonavirus								5																																					5
Bymovirus								2																																					2
Cardiovirus								21																																					21
Cheravirus								2																																					2
Chipapillomavirus								9	1																																				10
Chloriridovirus								2																																					2
Coriovirus								1																																					1
Cosavirus	1							25	1	1																																			28
Cryspovirus								2																																					2
Curtovirus								8																																					8
Cypovirus								30																																					30
Cytorhabdovirus								1																																					1
Decapodiridovirus								1																																					1
Deltapapillomavirus								8																																					8
Deltapartitivirus								2																																					2
Dyoiotapapillomavirus								1																																					1
Dyoomikronpapillomavirus								3																																					3
Dyopsipapillomavirus								1																																					1
Dyorhopapillomavirus								2																																					2
Dyoxipapillomavirus								1																																					1
Dyozetapapillomavirus								1																																					1
Enamovirus								3																																					3
Enterovirus						1		312	8							1																													322
Ephemerovirus								1																																					1
Epsilonhypovirus								2																																					2
Epsilonpapillomavirus								1																																					1
Eragrovirus								1																																					1
Erbovirus								2																																					2
Felipivirus								1																																					1
Fibrovirus									2	2																																			4
Furovirus								2																																					2
Gallivirus								1																																					1
Gammacoronavirus								1																																					1
Gammapapillomavirus								39	2															1																					42
Gammapartitivirus								5																																					5
Habenivirus								2																																					2
Hadakavirus								10																																					10
Hartmanivirus								6																																					6
Hepacivirus								12																																					12
Hepatovirus								5																																					5
Hunnivirus								7																																					7
Inovirus								12																																					12
Iotapapillomavirus								2																																					2
Ipomovirus								2																																					2
Kayvirus								14																																					14
Kobuvirus								14																																					14
Kochikohdavirus								1																																					1
Lambdapapillomavirus								5																																					5
Macluravirus								1																																					1
Macronovirus								7																																					7
Magoulivirus								6																																					6
Mammarenavirus								10	1	1	1																																		13
Mastadenovirus								110		4																																			114
Mastrevirus								31		1	1																																		33
Megalocytivirus								7																																					7
Megrivirus								6																																					6
Mivirus								1																																					1
Mobatvirus								7	1																																				8
Mosavirus								1																																					1
Mupivirus								1																																					1
Mykissvirus								8																																					8
Nanovirus								39	13	7				3																															62
Nebovirus								1																																					1
Nepovirus								1																																					1
Nitmarvirus								2																																					2
Norovirus			1					9																																					10
Omikronpapillomavirus								3																																					3
Orivirus								1																																					1
Orthobornavirus								9																																					9
Orthobunyavirus								88	15	9	5	5	4	3	4	3	2	5	4				1	2																					150
Orthodiscovirus								2	1																																				3
Orthoflavivirus								17	4	3		1	1																																26
Orthohantavirus						1		69	5	4		2	1	1			1																												84
Orthohepadnavirus								17	1																																				18
Orthomarburgvirus								1																																					1
Orthonairovirus		1				1		17	8	4	2									1																									34
Orthopicobirnavirus							1	1																																					2
Orthoreovirus						5		71	1	1																																			78
Orthorubulavirus								1																																					1
Oscivirus								1																																					1
Parabovirus								3																																					3
Parechovirus								22																																					22
Pasivirus								3																																					3
Paslahepevirus								8																																					8
Pecentumvirus									4																																				4
Pegivirus								11																																					11
Penicillimonavirus								1																																					1
Penoulivirus								2																																					2
Perhabdovirus								1																																					1
Pestivirus								2																																					2
Phlebovirus				1	1	2		5	4	10	5	7	1				1				1			1	1							1	1	1							1				44
Pipapillomavirus								5																																					5
Polerovirus								2																																					2
Polymycovirus							1	17																																					18
Potexvirus								1																																					1
Potyvirus								21		1																																			22
Quadrivirus								5																																					5
Rabovirus								4																																					4
Ranavirus								12	4	1		3		2																															22
Reptarenavirus								3	3																																				6
Restivirus									3																																				3
Rhopapillomavirus								2																																					2
Rocahepevirus								3																																					3
Rohelivirus								1																																					1
Rosavirus								6																																					6
Rubivirus								1																																					1
Salivirus								1																																					1
Sapelovirus								2																																					2
Sapovirus								5																																					5
Sclerotimonavirus								7																																					7
Scleroulivirus										1																																			1
Seadornavirus								41																																					41
Siadenovirus								1																																					1
Sicinivirus								8																																					8
Silviavirus								1																																					1
Siniperhavirus								3																																					3
Sobemovirus								1																																					1
Sprivivirus								2																																					2
Taupapillomavirus								4																																					4
Tertilicivirus								1																																					1
Teschovirus								14	1																																				15
Thetahypovirus								1																																					1
Thottimvirus								6																																					6
Tibrovirus								1																																					1
Tombusvirus								4																																					4
Torbevirus								24																																					24
Treisepsilonpapillomavirus								1																																					1
Tremovirus								1																																					1
Tsarbombavirus								1																																					1
Turncurtovirus								3																																					3
Upsilonpapillomavirus								4																																					4
Uukuvirus									4	2																																			6
Versovirus								1																																					1
Vesiculovirus								1																																					1
Villovirus								1																																					1
Whispovirus								12																																					12
Wphvirus								1																																					1
Xipapillomavirus								7																																					7
Xylivirus								1																																					1
Yatapoxvirus								1																																					1
(blank)																																													
Grand Total	1	1	1	1	1	13	3	1887	109	59	29	28	10	13	5	5	7	11	5	2	1	3	5	4	3	1	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1		2228